slang,baku
bangdes,pembangunan desa
bangkotan,tua
banpres,bantuan presiden
bansarkas,bantuan sarana kesehatan
"bazis,""badan amal, zakat, infak, dan sedekah"""
bcoz,karena
beb,sayang
bejibun,banyak
berdikari,berdiri di atas kaki sendiri
beti,beda tipis
bhubu,tidur
bimbuluh,bimbingan dan penyuluhan
bisi,kalau-kalau
bl,beli
bnchi,benci
bngung,bingung
bohay,badan aduhai
bokep,porno
bokin,pacar
bolot,bodoh
bonyok,ayah ibu
bpk,bapak
brb,segera kembali
brngkt,berangkat
brur,saudara laki-laki
bu_bu,tidur
bubarin,bubarkan
buber,buka bersama
bujubune,luar biasa
buser,buru sergap
bwhn,bawahan
byar,bayar
byr,bayar
c8,chat
caem,cakep
cama-cama,sama-sama
cangcut,celana dalam
caur,jelek
cekak,tidak ada uang
cekidot,coba lihat
cemplungin,cemplungkan
ceper,pendek
ceu,kakak perempuan
cibuk,sibuk
cin,cinta
ciye,cie
ckck,ck
clbk,cinta lama bersemi kembali
cmpr,campur
cnenk,senang
congor,mulut
coz,karena
gombal,suka merayu
gpl,tidak pakai lama
gretong,gratis
guys,teman-teman
gws,cepat sembuh
haghaghag,tertawa
hakhak,tertawa
handak,bahan peledak
hansip,pertahanan sipil
hellow,halo
helow,halo
hi,hai
hlng,hilang
houm,rumah
hubad,hubungan angkatan darat
hubla,perhubungan laut
huft,mengeluh
humas,hubungan masyarakat
idk,saya tidak tahu
ilfeel,tidak suka
imba,jago sekali
info,informasi
itung,hitung
isengin,bercanda
iyala,iya lah
iyo,iya
jablay,jarang dibelai
jadul,jaman dulu
jancuk,anjing
jdikan,jadikan
jijay,jijik
jnj,janji
jth,jatuh
jurdil,jujur adil
kabag,kepala bagian
kadit,kepala direktorat
kamtib,keamanan dan ketertiban
kamuh,kamu
kamyu,kamu
kapt,kapten
kasat,kepala satuan
kasubbid,kepala subbidang
kbar,kabar
kcian,kasihan
keburu,terlanjur
kedubes,kedutaan besar
keneh,masih
kepikiran,terpikirkan
kere,tidak punya uang
kesian,kasihan
keukeuh,keras kepala
kibus,kaki busuk
klwrga,keluarga
kmari,kemari
kmpus,kampus
kompi,komputer
komtiong,komunis tiongkok
konjen,konsulat jenderal
kptsan,keputusan
krik,garing
ktauan,ketahuan
kudu,harus
kykny,kayanya
laka,kecelakaan
lambreta,lambat
lansia,lanjut usia
lapas,lembaga pemasyarakatan
lbur,libur
lgkp,lengkap
linmas,perlindungan masyarakat
lmyan,lumayan
lngkp,lengkap
loch,loh
lol,tertawa
loupz,cinta
lowh,kamu
luff,cinta
luph,cinta
maaciw,terima kasih
mabes,markas besar
macem-macem,macam-macam
madesu,masa depan suram
mahatma,maju sehat bersama
mak,ibu
malah,bahkan
mamz,makan
manies,manis
markus,makelar kasus
mending,lebih baik
mhn,mohon
miker,minuman keras
milis,mailing list
mls,malas
moge,motor gede
mokat,mati
mosok,masa
mskpn,meskipun
msng2,masing-masing
muahal,mahal
muker,musyawarah kerja
mumet,pusing
munaslub,musyawarah nasional luar biasa
musda,musyawarah daerah
muuv,maaf
nal,kenal
naon,apa
napol,narapidana politik
narsis,bangga pada diri sendiri
nekolim,neokolonialisme
nelfon,menelepon
ngabis2in,menghabiskan
ngampus,pergi ke kampus
ngaruh,berpengaruh
ngawur,berbicara sembarangan
ngeceng,kumpul bareng-bareng
ngekos,tinggal di kos
ngelamar,melamar
ngikut,ikut
nginep,menginap
ngocol,lucu
ngumpul,berkumpul
nyasar,tersesat
nyariin,mencari
nyiapin,mempersiapkan
nyiram,menyiram
o/,oleh
priksa,periksa
pro,profesional
psn,pesan
puanas,panas
qmo,kamu
rame,ramai
raskin,rakyat miskin
red,redaksi
reg,register
rejeki,rezeki
renstra,rencana strategis
reskrim,reserse kriminal
sni,sini
somse,sombong sekali
sorry,maaf
sosbud,sosial-budaya
sospol,sosial-politik
sowry,maaf
spd,sepeda
subbag,subbagian
sumbangin,sumbangkan
tabanas,tabungan pembangunan nasional
tawh,tahu
te2p,tetap
tekor,rugi
telkom,telekomunikasi
tengok,menjenguk
terbitin,terbitkan
thanks,terima kasih
thd,terhadap
tkg,tukang
tll,terlalu
tlpn,telepon
tmph,tumpah
tnda,tanda
tnh,tanah
togel,toto gelap
trgntg,tergantung
munfik,munafik
reklamuk,reklamasi
tren,trend
ngehe,kesal
analisise,analisis
sadaar,sadar
sept,september
nmenarik,menarik
zonk,bodoh
rights,benar
simiskin,miskin
ngumpet,sembunyi
hardcore,keras
akhirx,akhirnya
solve,solusi
watuk,batuk
ngebully,intimidasi
masy,masyarakat
still,masih
mbual,bual
tioghoa,tionghoa
ngentotin,senggama
kentot,senggama
faktakta,fakta
sohib,teman
rubahnn,rubah
heters,pembenci
nyembah,sembah
most,paling
ikon,lambang
light,terang
pndukung,pendukung
setting,atur
seting,akting
next,lanjut
waspadalah,waspada
gantengsaya,ganteng
parte,partai
nipu,tipu
ktipu,tipu
jentelmen,berani
buangbuang,buang
tsangka,tersangka
ista,nista
less,kurang
koar,teriak
paranoid,takut
problem,masalah
tahi,kotoran
tirani,tiran
tilep,tilap
happy,bahagia
tak,tidak
penertiban,tertib
uasai,kuasa
mnolak,tolak
trending,trend
wkwkkw,tertawa
ahokncc,ahok
istaa,nista
benarjujur,jujur
cs,costumer service
miss kom,miss komunikasi
skrg,sekarang
bolehh,boleh
gojek.always,gojek. always
mantab,mantap
90menit,90 menit
gjls,tidak jelas
gd,tidak ada
20ribu,20 ribu
9rb,9 ribu
mantaab,mantap
lainlain,lain lain
2x,2 kali
dinemput,jemput
gmn,gimana
dll,dan lain lain
kagak,tidak
"nyampe"",sampai sampai"
ngeblast,sekali
pecus,benar
mntep,mantap
lho,loh
jmpt,jemput
nyantol,tersangkut
wjrlah,wajarlah
gpp,tidak apa apa
jln,jalan
gojeg,gojek
dinkasih,di kasih
stngah,setengah
jm,jam
"kdng"",kadang kadang"
siangn,siangan
berngkat,berangkat
ok,oke
tp,tapi
3kali,3 kali
supir2,supir supir
15k,15 ribu
hadehh,hadeh
manja2,manja manja
jmput,jemput
trimakasih,terimakasih
4km,4 km
buru2,buru buru
by,oleh
tf,transfer
jek,gojek
bar bar,barbar
ajib,mantap
y,ya
sangatemnantu,sangat membantu
cok,
spd,sepeda
bb,berat badan
app,aplikasi
mntapp,mantap
knp,kenapa
2bulan,2 bulan
kmn,kemana
jg,juga
dpat,dapat
kk,kakak
gojeg,gojek
"1,5jam,""1,5 jam"""
dpt2,dapat dapat
gue,saya
mbayar,bayar
ta,kah
e,nya
gojekny,gojeknya
shoppe,shopee
jm,jam
go-jek,gojek
reimburst,reimburse
iming2i,iming imingi
gbsa,tidak bisa
moment2,moment moment
sush,susah
"rata"",rata rata"
berkali2,berkali kali
&,dan
kemarin2,kemarin kemarin
gblk,bodoh
dapet2,dapat dapat
driver2,driver
neheri,negeri
lperjalanan,perjalanan
"2,3km,""2,3 km"""
sope,shopee
grafod,grabfood
"buang"",buang buang"
pelanggan2nya,pelanggan pelanggannya
16.00wib,16.00 wib
19.29wib,19.29 wib
10rb,10 ribu
20rb,20 ribu
trimakasih,terimakasih
10k,10 ribu
aplkator,aplikasi
nyekin,jelekin
complain,komplain
nyilsa,nyiksa
b4ngke,bangkai
persi,versi
50k,50 ribu
20k,20 ribu
40k,40 ribu
invlasi,inflasi
mesen,memesan
amazing,amaizing
nua,nya
vocer,voucher
cwpatt,cepat
mksh,terimakasih
mangtap,mantap
bgt,sangat
jios,mantap
kepesen,terpesan
melenceng,menyimpang
oper oper,operan
"bos""mu,bos bos mu"
idiw,ih
m0nyet,monyet
puaass,puas
maksa,memaksa
gw,saya
bacot,banyak omong
disni,disini
hadeh,haduh
lach,lah
joss,mantap
go pay,gopay
gacor,gampang cari orderan
dibtangani,ditangani
sia siaa,sia sia
kapok,jera
ngotak,berotak
okee,oke
omke,oke
brader,kakak
driverny,drivernya
sekaliny,sekalinya
jempt,jemput
mahal2,mahal mahal
tarip,tarif
kyhyh,sepertinya
ntaps!,mantap!
vocer,voucher
go food,gofood
ekpres,ekspress
tpu,tetapi
enggak,tidak bisa
bbangsa,bangsa
perbyk,perbanyak
blangsak,jelek
plis,tolong
40-50mnt,40-50 menit
3km,3 km
40menit,40 menit
inj,ini
nawari,menawari
mantabs.,mantab.
aagar,agar
aangat,sangat
aapapun,apapun
aaya,saya
abalabal,abal abal
abangnyaabangnya,abang abangnya
abanh,abang
abanhojol,abang ojol
abdet,update
abisa,tidak bisa
abisini,sehabis ini
abispusing,habis pusing
abiss,habis
abng,abang
abnormal,tidak normal
abrek,banyak sekali
absen,tidak hadir
absolut,mutlak
abuabu,abu abu
acc,disetujui
accbyr,pembayaran disetujui
accept,terima
accini,disetujui ini
accord,sesuai
account,akun
accounts,akun akun
acctransaksi,transaksi disetujui
accurately,secara akurat
aceng,program prioritas order
acengnya,program prioritas order nya
acnya,ac nya
actually,sebenarnya
adaada,ada ada
adabener,ada benar
adabintang,ada bintang
adabyeuninstal,ada nya uninstall
adagercepklo,ada respons cepat kalau
adahilang,ada hilang
adaini,ada ini
adakenapa,ada kenapa
adalagi,ada lagi
adalintah,ada lintah
adamakanan,ada makanan
adany,adanya
adapadahal,ada padahal
adaparahtolonglah,ada parah tolong lah
adapat,dapat
adaudah,ada udah
adayg,ada yang
address,alamat
adeh,haduh
adjust,menyesuaikan
adminnah,adminnya
adminnyaterimakasih,adminnya terimakasih
adminya,adminnya
admn,admin
ads,iklan
aduduh,aduh
aduh,aduh
aduin,mengadukan
aedih,sedih
aekali,sekali 
aelah,ya ampun
afa,ada
affiliate,afiliasi
aflikasi,aplikasi
after,setelah
aga,agak
again,lagi
agaj,agak
agent,agen
agh,ah
agi,lagi
