slang,baku
beliin,membelikan
kya,kaya
keq,kek
ngerasa,merasa
sygkuu,sayangku
ngeselin,mengesalkan
baju'a,bajunya
gara'',gara-gara
teruss,terus
pokok'a,pokoknya
bg,bang
ubur2,ubur-ubur
kuyy,yuk
bentarr,bentar
dureen,duren
ajibb,ajib
mahall,mahal
imuutt,imut
imuttzz,imut
nha,nya
konten2,konten-konten
rasain,rasai
cantiknnyaa,cantiknyaa
ngelihatnya,melihatnya
bdn,badan
na,nya
ibu2,ibu-ibu
lau,kau
sexxi,seksi
bulet,bulat
ituu,itu
ngocok,mengocok
nyoba,mencoba
gn,begini
yaahh,ya
kencqng,kencang
kra,kira
diginikan,dibeginikan
"coret"",coret-coret"
gambarin,gambarkan
ngerii,ngeri
digambarin,digambarkan
klen,kalian
bangke,bangkai
kog,kok
liatnya,lihatnya
bedanyaa,bedanya
negri,negeri
mbk,mbak
pgin,pengin
krudungan,kerudungan
maksutku,maksudku
njirr,anjirr
jd'y,jadinya
manisnyaa,manisnyaa
thun,tahun
mbg,mbak
bangeet,bangett
ngaco,mengaco
ngomen,mengomentari
gituh,begitu
tenggah,tengahh
uuaappiikk,apikk
kocakk,kocakk
ksukaanmuu,kesukaanmuu
bagii,bagii
nontonx,menontonnya
dpn,depan
pi,tapi
penasarann,penasarann
gilakk,gilaa
nontoonn,menonton
cepet2,cepat-cepat
kepingin,pengin
nontonn,menonton
deek,dek
ntapp,mantap
deg2an,deg-degan
cyiin,cinta
iyha,iya
kureen,keren
muantaap,mantapp
pake,pakai
ngantri,mengantri
bli,beli
nraktir,mentraktir
nonton,menonton
sbnyak,sebanyak
penasaraann,penasaran
nii,ini
nontonya,menontonnya
dpt,dapat
qta,kita
peen,pengin
lw,lu
gga,enggak
yaah,yaa
asikk,asik
gilak,gila
mcm,macam
ceritax,ceritanya
yooii,yoi
kuy,yuk
udahh,sudahh
sabarr,sabarr
kqmu,kamu
banggain,banggakan
thn,tahun
pengan,pengin
sendeng,senang
simpen,simpan
gakk,enggak
bagiin,bagikan
nanggepin,menanggapi
kapn,kapan
barang2,barang-barang
kirimin,mengirimi
senengin,senangi
ngasih,mengasih
ampunn,ampunn
bln,bulan
senengg,senangg
teruzz,teruss
mantabb,mantabb
sumpahh,sumpahh
diluarann,diluarann
trbaik,terbaik
dlam,dalam
anjirr,anjirr
jendess,janda
dh,deh
sichh,sihh
namnya,namanya
geh,gih
22nya,dua-duanya
aduuhh,aduhh
miripp,miripp
silauu,silauu
waww,woww
uga,juga
njiirr,anjirr
bgs,bagus
kesinii,kesini
gemay,gemas
dstu,disitu
wiihh,wihh
samoga,semoga
wahh,wahh
nyangkaa,menyangka
hasilnyaa,hasilnyaa
dahh,dahh
mudah2,mudah-mudah
jugaakk,jugaa
prnh,pernah
diapa2in,diapa-apai
yaak,yaa
lhoo,lohh
donx,dong
gthu,begitu
nda,indak
maauu,mauu
pacarr,pacarr
idamann,idaman
naturall,naturall
bnyak,banyak
berntung,beruntung
merka,mereka
jln2,jalan-jalan
romntis,romantis
slamat,selamat
ulan,ulang
th,tahun
mngkin,mungkin
klau,kalau
diksi,dikasih
sipp,sip
taun,tahun
jugak,juga
ngeluarin,mengeluarkan
keciill,kecil
ughaa,juga
"tante"",tante-tante"
banged,banget
abees,habis
kapan2,kapan-kapan
adain,mengadakan
bsa,bisa
bosen2,bosan-bosan
sempurnaa,sempurna
kaan,kan
kece2,kece-kece
badaaii,badai
beneraan,benarann
kuatt,kuatt
cantiknyaa,cantiknyaa
bae2,baik-baik
bgd,banget
mb,mbak
catiik,cantikk
subahanallah,subhanallah
jaman2nya,jaman-jamannya
padet,padat
buktiin,buktikan
cantiq,cantik
"pasien""nya,pasien-pasiennya"
lohh,loh
utk,untuk
keerreenn,kerenn
woow,woww
choker2,choker-choker
hadirr,hadir
jelashh,jelass
sekali2,sekali-kali
mbaa,mbak
temen,teman
hidupp,hidup
nyebelin,menyebalkan
diliatnya,dilihatnya
abis2,habis-habis
gpp,enggak apa-apa
para2,parah-parah
allahh,allah
gemesnya,gemasnya
ilang2,hilang-hilang
kmi,kami
ngilangin,menghilangkan
tbuh,tubuh
itungan,hitungan
ledekin,ledeki
tmn2,teman-teman
repot2,repot-repot
oles2,oles-oles
ckup,cukup
dptkan,dapatkan
artis2,artis-artis
ninggiin,meninggikan
baget,banget
dri,dari
kira2,kira-kira
lgsg,langsung
ngk,enggak
pas2an,pas-pasan
balesin,membalas
gausah,enggak usah
lutuna,lucunya
ciapa,siapa
duhh,duhh
terharuu,terharu
alamii,alamii
sampek,sampai
ckrng,sekarang
ngegemesin,menggemaskan
imoet,imut
imut2,imut-imut
jagain,jaga
yahbh,yaa
msih,masih
macem2,macam-macam
neko2,neko-neko
sktika,seketika
lutu,lucu
mass,mas
"keren"",keren-keren"
"jalan""nya,jalan-jalannya"
masyaallahh,masyaallah
ksni,kesini
begok,bego
bkan,bukan
jgk,juga
bawak,bawa
it,itu
nti,nanti
pgi,pagi
keeren,kerenn
baguuss,baguss
mna,mana
nahann,tahann
bagaatt,bangett
gayannxa,gayanya
ngekeh,kekeh
xlian,kalian
b3,bertiga
lcu,lucu
pait,pahit
koplakk,koplak
kerass,kerass
yachh,ya
gokil,gila
ngelihat,melihat
ngelawak,melawak
iihh,ihh
nyolotinn,menyolot
beratt,beratt
cantiikk,cantikk
hijaabb,hijabb
sekalii,sekalii
smnagatin,menyemangati
pakek,pakai
kanapa,kenapa
cans,cantik
banhet,banget
blng,bilang
mngasi,mengasih
kmbang,kembang
pg,pagi
nie,ini
pla,pula
kw,kau
blakon,berlakon
sy,saya
nmpk,nampak
bngtzt,banget
lucukk,lucu
sbelah,sebelah
baek,baik
ciuss,serius
palinf,paling
fav,favorit
maak,mak
ngakaakk,mengakak
gokill,gilaa
ngekek,mengekek
capee,cape
pegangin,memegang
nyender,menyandar
bener,benar
manjain,memanjakan
peleotin,meleot
bng,bang
termurahh,termurah
nyatakan,menyatakan
graatiis,gratis
meriahh,meriahh
cantikkm,cantik
bingits,banget
yuppss,ya
nyindir,menyindir
onoh,sono
bnyk,banyak
anakny,anaknya
staf2nya,staf-stafnya
begete,banget
aduhh,aduh
mantepp,mantapp
hati2,hati-hati
jangan2,jangan-jangan
kata2nya,kata-katanya
ynk,sayang
"nangis"",menangis-nangis"
"hati"",hati-hati"
"jangan"",jangan-jangan"
emank,memang
cr,cara
diemin,diamkan
hancurin,menghancurkan
ckp,cukup
mgkn,mungkin
ato,atau
diapain,diapakan
ms,masih
haragain,menghargai
cb,coba
nyakitin,menyakiti
